                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    135,                0.94961,                 1.7888,                 1.3795,                0.64246,                0.56631,                 0.6684,                0.50542,                  1.028,                 1.6792,                 1.4503,              0.0086833,              0.0086833,              0.0086833
                    136,                0.95261,                 1.7741,                 1.3843,                0.64312,                0.56597,                0.66839,                0.50308,                 1.0291,                 1.6788,                 1.4512,              0.0086734,              0.0086734,              0.0086734
                    137,                 0.9453,                 1.7797,                 1.3824,                0.56823,                0.65332,                0.66859,                0.50487,                 1.0287,                 1.6776,                 1.4517,              0.0086635,              0.0086635,              0.0086635
                    138,                0.94443,                 1.7915,                 1.3747,                0.57481,                0.64691,                0.67075,                0.50502,                 1.0312,                 1.6768,                 1.4537,              0.0086536,              0.0086536,              0.0086536
                    139,                0.95622,                 1.7849,                 1.3867,                0.57509,                0.64839,                0.67076,                0.50235,                 1.0275,                 1.6754,                 1.4497,              0.0086437,              0.0086437,              0.0086437
                    140,                0.94311,                 1.7552,                 1.3753,                 0.5731,                0.65303,                0.66747,                0.50189,                  1.027,                 1.6764,                 1.4496,              0.0086338,              0.0086338,              0.0086338
                    141,                0.94216,                 1.7546,                 1.3773,                 0.5745,                0.65248,                0.66819,                0.50351,                 1.0241,                 1.6724,                 1.4467,              0.0086239,              0.0086239,              0.0086239
                    142,                0.95084,                 1.7709,                 1.3801,                 0.5734,                0.64852,                0.66814,                0.50314,                 1.0238,                 1.6698,                 1.4463,               0.008614,               0.008614,               0.008614
                    143,                0.94234,                  1.773,                 1.3728,                0.57774,                0.63598,                0.66932,                0.50512,                 1.0254,                 1.6668,                  1.447,              0.0086041,              0.0086041,              0.0086041
                    144,                0.93705,                 1.7376,                 1.3696,                0.57811,                0.63772,                0.66627,                0.50361,                 1.0256,                 1.6658,                 1.4475,              0.0085942,              0.0085942,              0.0085942
                    145,                0.94782,                  1.747,                 1.3786,                0.57882,                0.63901,                0.66636,                0.50267,                 1.0257,                 1.6652,                 1.4477,              0.0085843,              0.0085843,              0.0085843
                    146,                0.93622,                 1.7316,                  1.368,                0.57938,                0.64172,                0.66647,                0.50418,                 1.0248,                 1.6662,                 1.4468,              0.0085744,              0.0085744,              0.0085744
